episode,reward,steps,final_level,win
1,279.46,640,15,1
2,-10.65,763,4,0
3,279.42999999999995,630,15,1
4,199.95,605,15,1
5,379.40999999999997,764,15,1
6,379.44,598,15,1
7,-10.15,253,2,0
8,279.42999999999995,586,15,1
9,279.95,509,15,1
10,-10.65,408,2,0
11,-10.62,446,5,0
12,279.42999999999995,956,15,1
13,279.42999999999995,945,15,1
14,279.42999999999995,1157,15,1
15,379.40999999999997,713,15,1
16,279.42999999999995,1066,15,1
17,279.42999999999995,531,15,1
18,-10.65,626,7,0
19,69.35000000000001,335,2,0
20,69.35000000000001,633,5,0
21,279.42999999999995,619,15,1
22,279.42999999999995,699,15,1
23,-10.65,339,2,0
24,199.43,565,15,1
25,199.43,562,15,1
26,279.44,1719,15,1
27,279.9,916,15,1
28,279.42999999999995,889,15,1
29,279.66999999999996,926,15,1
30,479.42,650,15,1
31,-10.65,349,2,0
32,69.35000000000001,442,3,0
33,199.43,796,15,1
34,379.40999999999997,894,15,1
35,379.40999999999997,1150,15,1
36,-10.65,351,2,0
37,69.35000000000001,1035,7,0
38,279.42999999999995,845,15,1
39,199.43,900,15,1
40,-10.65,216,2,0
41,199.43,837,15,1
42,279.42999999999995,1063,15,1
43,279.42999999999995,1099,15,1
44,-10.59,331,2,0
45,-10.65,378,4,0
46,-10.65,327,4,0
47,-10.65,653,8,0
48,279.42999999999995,899,15,1
49,279.42999999999995,832,15,1
50,-10.62,481,4,0
51,279.42999999999995,849,15,1
52,679.38,894,15,1
53,279.42999999999995,815,15,1
54,279.42999999999995,969,15,1
55,199.43,799,15,1
56,-10.65,443,2,0
57,279.95,960,15,1
58,199.95,607,15,1
59,279.95,1008,15,1
60,-10.26,554,6,0
61,69.38000000000001,329,3,0
62,-10.15,858,12,0
63,69.35000000000001,421,2,0
64,-10.65,338,2,0
65,279.42999999999995,784,15,1
66,279.42999999999995,502,15,1
67,-10.59,799,9,0
68,279.42999999999995,599,15,1
69,279.42999999999995,571,15,1
70,279.42999999999995,606,15,1
71,-10.47,288,2,0
72,479.86,621,15,1
73,279.95,1159,15,1
74,279.46,552,15,1
75,279.72,814,15,1
76,-10.65,327,2,0
77,199.95,748,15,1
78,279.95,694,15,1
79,-10.65,218,3,0
80,379.40999999999997,780,15,1
81,279.54999999999995,945,15,1
82,199.95,565,15,1
83,199.73000000000002,1124,15,1
84,279.95,626,15,1
85,279.42999999999995,509,15,1
86,279.95,641,15,1
87,279.42999999999995,726,15,1
88,279.42999999999995,719,15,1
89,-10.65,456,2,0
90,279.52,712,15,1
91,279.95,667,15,1
92,279.95,710,15,1
93,479.39,575,15,1
94,379.40999999999997,790,15,1
95,-10.65,513,2,0
96,279.42999999999995,831,15,1
97,-10.15,264,2,0
98,-10.65,618,9,0
99,279.42999999999995,523,15,1
100,279.95,580,15,1
101,199.95,782,15,1
102,279.42999999999995,688,15,1
103,279.95,548,15,1
104,-10.38,550,3,0
105,279.42999999999995,568,15,1
106,279.42999999999995,962,15,1
107,-10.15,309,2,0
108,199.43,901,15,1
109,-10.65,633,9,0
110,-10.65,540,3,0
111,279.95,384,15,1
112,279.5,944,15,1
113,279.42999999999995,842,15,1
114,279.58,782,15,1
115,379.65999999999997,661,15,1
116,69.35000000000001,471,4,0
117,199.85000000000002,503,15,1
118,279.95,798,15,1
119,199.95,1135,15,1
120,379.47999999999996,645,15,1
121,-10.65,648,8,0
122,-10.65,408,3,0
123,279.95,637,15,1
124,-10.65,686,12,0
125,279.65,694,15,1
126,279.64,812,15,1
127,199.43,707,15,1
128,199.46,756,15,1
129,199.43,837,15,1
130,279.42999999999995,821,15,1
131,279.65999999999997,804,15,1
132,199.43,498,15,1
133,279.95,546,15,1
134,-10.65,452,5,0
135,379.40999999999997,665,15,1
136,279.95,872,15,1
137,279.42999999999995,828,15,1
138,279.42999999999995,895,15,1
139,69.77000000000001,372,2,0
140,-10.41,308,2,0
141,379.40999999999997,607,15,1
142,279.95,560,15,1
143,379.44,551,15,1
144,279.95,689,15,1
145,-10.38,293,2,0
146,379.40999999999997,1086,15,1
147,-10.65,524,6,0
148,279.95,705,15,1
149,-10.65,359,2,0
150,-10.65,397,2,0
151,279.46,538,15,1
152,379.40999999999997,805,15,1
153,279.95,663,15,1
154,279.95,592,15,1
155,199.43,698,15,1
156,379.77,708,15,1
157,279.95,670,15,1
158,199.95,885,15,1
159,-10.65,345,2,0
160,379.40999999999997,954,15,1
161,279.95,850,15,1
162,279.95,538,15,1
163,279.95,641,15,1
164,199.43,786,15,1
165,279.42999999999995,662,15,1
166,-10.15,582,10,0
167,279.42999999999995,717,15,1
168,69.85000000000001,393,2,0
169,199.43,542,15,1
170,-10.15,541,3,0
171,279.42999999999995,1041,15,1
